Estacion;CodigoPostal;Ciudad;Provincia;Comunidad Autónoma;País
Boulevar Sur;46006;Valencia;Valencia;Comunidad Valenciana;España
Cabanyal;46011;Valencia;Valencia;Comunidad Valenciana;España
Centro;46001;Valencia;Valencia;Comunidad Valenciana;España
Dr. Lluch;46011;Valencia;Valencia;Comunidad Valenciana;España
Francia;46023;Valencia;Valencia;Comunidad Valenciana;España
Molí del Sol;46014;Valencia;Valencia;Comunidad Valenciana;España
Olivereta;46018;Valencia;Valencia;Comunidad Valenciana;España
Pista de Silla;46013;Valencia;Valencia;Comunidad Valenciana;España
Universidad Politécnica;46022;Valencia;Valencia;Comunidad Valenciana;España
Viveros;46010;Valencia;Valencia;Comunidad Valenciana;España
